bID,CURRENT_ENERGY_EFFICIENCY,hotwater_roof_windows-Cost,hotwater_roof_windows-Eff,hotwater_roof_windows-Diff,hotwater_roof_windows-Score,windows-Cost,windows-Eff,windows-Diff,windows-Score,envelopes-Cost,envelopes-Eff,envelopes-Diff,envelopes-Score,hotwater_windows-Cost,hotwater_windows-Eff,hotwater_windows-Diff,hotwater_windows-Score,envelopes_windows-Cost,envelopes_windows-Eff,envelopes_windows-Diff,envelopes_windows-Score,envelopes_roof_windows-Cost,envelopes_roof_windows-Eff,envelopes_roof_windows-Diff,envelopes_roof_windows-Score,envelopes_hotwater_roof-Cost,envelopes_hotwater_roof-Eff,envelopes_hotwater_roof-Diff,envelopes_hotwater_roof-Score,roof-Cost,roof-Eff,roof-Diff,roof-Score,envelopes_roof-Cost,envelopes_roof-Eff,envelopes_roof-Diff,envelopes_roof-Score,hotwater-Cost,hotwater-Eff,hotwater-Diff,hotwater-Score,hotwater_roof-Cost,hotwater_roof-Eff,hotwater_roof-Diff,hotwater_roof-Score,envelopes_hotwater-Cost,envelopes_hotwater-Eff,envelopes_hotwater-Diff,envelopes_hotwater-Score,envelopes_hotwater_windows-Cost,envelopes_hotwater_windows-Eff,envelopes_hotwater_windows-Diff,envelopes_hotwater_windows-Score,envelopes_hotwater_roof_windows-Cost,envelopes_hotwater_roof_windows-Eff,envelopes_hotwater_roof_windows-Diff,envelopes_hotwater_roof_windows-Score,roof_windows-Cost,roof_windows-Eff,roof_windows-Diff,roof_windows-Score,as_built-Cost,as_built-Eff,as_built-Diff,as_built-Score
24804,69,8612,73,4,2153,-1,-1,-1,-1,-1,-1,-1,-1,6024,70,1,6024,-1,-1,-1,-1,10412,71,2,5206,9987,74,5,1997,2587,70,1,2587,7187,71,2,3593,2800,70,1,2800,5387,73,4,1346,7400,71,2,3700,10624,71,2,5312,13212,74,5,2642,5812,70,1,5812,0,0,0,0
14074,63,8344,70,7,1192,-1,-1,-1,-1,-1,-1,-1,-1,5232,66,3,1744,-1,-1,-1,-1,10144,66,3,3381,10512,69,6,1752,3112,66,3,1037,7712,66,3,2570,2800,66,3,933,5912,70,7,844,7400,66,3,2466,9832,66,3,3277,12944,69,6,2157,5544,66,3,1848,0,0,0,0
16818,59,11403,69,10,1140,2828,60,1,2828,-1,-1,-1,-1,5628,62,3,1876,-1,-1,-1,-1,9603,66,7,1371,9575,68,9,1063,5775,65,6,962,6775,65,6,1129,2800,61,2,1400,8575,68,9,952,3800,61,2,1900,6628,62,3,2209,12403,69,10,1240,8603,66,7,1229,0,0,0,0
30445,32,-1,-1,-1,-1,2036,35,3,678,1000,47,15,66,-1,-1,-1,-1,3036,47,15,202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
41862,68,-1,-1,-1,-1,2828,70,2,1414,2700,69,1,2700,5628,72,4,1407,5528,70,2,2764,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2800,72,4,700,-1,-1,-1,-1,5500,72,4,1375,8328,72,4,2082,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
35075,65,16376,74,9,1819,6789,69,4,1697,4600,68,3,1533,9589,72,7,1369,11389,69,4,2847,18176,72,7,2596,14187,74,9,1576,6787,70,5,1357,11387,71,6,1897,2800,71,6,466,9587,74,9,1065,7400,71,6,1233,14189,72,7,2027,20976,75,10,2097,13576,71,6,2262,0,0,0,0
6360,36,9367,48,12,780,-1,-1,-1,-1,2700,41,5,540,6420,47,11,583,6320,41,5,1264,9267,44,8,1158,8446,52,16,527,2946,38,2,1473,5646,44,8,705,2800,46,10,280,5746,48,12,478,5500,51,15,366,9120,51,15,608,12067,52,16,754,6567,37,1,6567,0,0,0,0
13520,77,9495,78,1,9495,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8575,80,3,2858,-1,-1,-1,-1,5775,78,1,5775,-1,-1,-1,-1,5875,79,2,2937,-1,-1,-1,-1,-1,-1,-1,-1,12195,79,2,6097,-1,-1,-1,-1,0,0,0,0
13472,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
44248,67,8194,75,8,1024,2432,69,2,1216,4600,69,2,2300,5232,72,5,1046,7032,69,2,3516,9994,72,5,1998,10362,75,8,1295,2962,71,4,740,7562,71,4,1890,2800,72,5,560,5762,74,7,823,7400,72,5,1480,9832,72,5,1966,12794,75,8,1599,5394,71,4,1348,0,0,0,0
